days_from_first_case,cases
1,1
2,2
3,3
4,4
5,4
6,7
7,11
8,12
9,15
10,16
11,18
12,23
13,24
14,25
15,27
16,28
17,29
18,30
19,31
20,46
21,51
22,82
23,104
24,156
25,204
26,346
27,433
28,556
29,602
30,763
31,833
32,893
33,977
34,1146
35,1261
36,1595
37,1766
38,2022
39,2337
40,2931
41,3150
42,3526
43,3736
44,4212
45,4812
46,5328
47,5766
48,6284
49,6767
50,7134
51,7382
52,7513
53,7755
54,7869
55,7979
56,8086
57,8162
58,8236
59,8320
60,8413
61,8565
62,8652
63,8799
64,8897
65,8961
66,9037
67,9137
68,9241
69,9332
70,9478
71,9583
72,9661
