days_from_first_case,cases
1,1
2,1
3,1
4,3
5,3
6,4
7,5
8,8
9,8
10,9
11,10
12,10
13,10
14,10
15,11
16,11
17,16
18,16
19,17
20,18
21,18
22,18
23,18
24,18
25,18
26,18
27,20
28,22
29,22
30,24
31,24
32,26
33,26
34,28
35,30
36,31
37,32
38,32
39,34
40,39
41,40
42,41
43,42
44,42
45,44
46,45
47,45
48,45
49,45
50,47
51,48
52,49
53,50
54,53
55,59
56,67
57,77
58,100
59,108
60,135
61,153
62,169
63,195
64,215
65,235
66,252
67,267
68,283
69,298
70,306
71,322
72,329
73,339
74,348
75,355
76,363
77,373
78,376
79,379
80,380
81,382
82,385
83,388
84,393
85,393
86,395
87,395
88,395
89,398
90,420
91,422
92,425
93,426
94,427
95,428
96,429
97,429
98,429
99,429
100,429
101,429
102,429
103,432
104,436
105,438
106,438
107,439
108,440
109,440
110,440
111,440
112,440
113,440
114,440
115,440
116,440
117,440
118,440
119,440
120,440
121,440
122,441
123,441
124,441
125,441
126,441
127,441
128,441
129,441
130,442
131,442
132,442
133,443
134,443
135,443
136,443
137,443
138,443
139,443
140,443
141,443
142,443
143,443
144,443
145,443
146,443
147,445
148,445
149,445
150,446
151,446
152,446
153,446
154,446
155,446
156,446
157,447
158,447
159,447
160,447
161,447
162,447
163,447
164,448
165,449
166,449
167,449
168,449
169,449
170,449
171,449
172,451
173,451
174,451
175,451
176,451
177,451
178,452
179,454
180,454
181,455
182,455
183,455
184,455
185,455
186,458
187,458
188,458
189,462
190,467
191,467
192,467
193,467
194,474
195,475
196,475
197,476
198,476
199,477
200,477
201,479
202,480
203,480
204,480
205,481
206,481
207,481
208,482
209,484
210,485
211,486
212,486
213,486
214,487
215,487
216,487
217,487
218,487
219,487
220,487
221,487
222,488
223,488
224,488
225,488
226,489
227,489
228,490
229,492
230,493
231,494
232,495
233,495
234,496
235,498
236,498
237,498
238,499
239,499
240,500
241,503
242,503
243,506
244,507
245,509
246,509
247,509
248,509
249,510
250,510
251,510
252,513
253,513
254,514
255,515
256,517
257,517
258,517
259,518
260,521
261,523
262,524
263,527
264,527
265,527
266,529
267,530
268,530
269,531
270,535
271,535
272,535
273,540
274,543
275,544
276,548
277,548
278,550
279,550
280,550
281,550
282,550
